DATE,SELL ASSET,SELL AMOUNT,BUY ASSET,BUY AMOUNT,EXP GAIN
,,,,,
2010-01-01,gbp,550,foo,200,
2010-01-01,gbp,750,foo,400,
2010-01-01,,,foo,200,
2010-01-01,foo,300,gbp,700,100
,,,,,
2010-01-02,foo,300,gbp,450,-250
2010-02-01,gbp,450,foo,150,
2010-02-01,foo,50,gbp,200,50
,,,,,
2010-02-02,gbp,1200,foo,300,
,,,,,
2010-04-01,foo,300,gbp,1200,-100
2010-04-01,gbp,300,foo,100,
2010-05-01,gbp,3000,foo,600,
2010-05-01,foo,200,gbp,1200,200
,,,,,
2010-07-01,foo,250,gbp,2500,900
2010-07-01,gbp,600,foo,50,
2010-07-02,gbp,800,foo,200,
2010-07-02,foo,100,gbp,1100,700
2010-07-03,gbp,1800,foo,300,
,,,,,
2010-09-01,foo,100,gbp,1000,700
2010-09-02,foo,300,gbp,1800,800
2010-09-03,gbp,200,foo,50,
2010-09-04,gbp,300,foo,150,
,,,,,
2010-09-05,foo,100,gbp,300,-200
2010-09-05,foo,150,gbp,500,
2010-09-05,foo,50,,,
